Series_reference,Period,Data_value,STATUS,Group,Subject,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5,UNITS,MAGNTUDE
GFSA.SCS01G02991,2018.06,0,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SCS01G02991,2019.06,0,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SCS01G02991,2020.06,0,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SCS01G02991,2021.06,0,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SCS01G02991,2022.06,0,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SCS01G02991,2023.06,0,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SCS01G02991,2024.06,0,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SCS01G02991,2025.06,0,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SCS01G02992,2009.06,5,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other capital transfers,,,,,Dollars,6
GFSA.SCS01G02992,2010.06,3,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other capital transfers,,,,,Dollars,6
GFSA.SCS01G02992,2011.06,4188,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other capital transfers,,,,,Dollars,6
GFSA.SCS01G02992,2012.06,361,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other capital transfers,,,,,Dollars,6
GFSA.SCS01G02992,2013.06,1,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other capital transfers,,,,,Dollars,6
GFSA.SCS01G02992,2014.06,4,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other capital transfers,,,,,Dollars,6
GFSA.SCS01G02992,2015.06,10,FINAL,"Central Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other capital transfers,,,,,Dollars,6
