Period,Anzsic,Anzsic_descriptor,Variable2,Units,Data_value,Gas,Variable1
2020.09,CCO,Other manufacturing nec,Value added,$million value added (constant price),1559,Not applicable,Seasonally adjusted
2020.12,CCO,Other manufacturing nec,Value added,$million value added (constant price),1576,Not applicable,Seasonally adjusted
2021.03,CCO,Other manufacturing nec,Value added,$million value added (constant price),1728,Not applicable,Seasonally adjusted
2021.06,CCO,Other manufacturing nec,Value added,$million value added (constant price),1696,Not applicable,Seasonally adjusted
2021.09,CCO,Other manufacturing nec,Value added,$million value added (constant price),1530,Not applicable,Seasonally adjusted
2021.12,CCO,Other manufacturing nec,Value added,$million value added (constant price),1724,Not applicable,Seasonally adjusted
2022.03,CCO,Other manufacturing nec,Value added,$million value added (constant price),1673,Not applicable,Seasonally adjusted
2022.06,CCO,Other manufacturing nec,Value added,$million value added (constant price),1630,Not applicable,Seasonally adjusted
2022.09,CCO,Other manufacturing nec,Value added,$million value added (constant price),1667,Not applicable,Seasonally adjusted
2022.12,CCO,Other manufacturing nec,Value added,$million value added (constant price),1650,Not applicable,Seasonally adjusted
2023.03,CCO,Other manufacturing nec,Value added,$million value added (constant price),1669,Not applicable,Seasonally adjusted
2023.06,CCO,Other manufacturing nec,Value added,$million value added (constant price),1692,Not applicable,Seasonally adjusted
2023.09,CCO,Other manufacturing nec,Value added,$million value added (constant price),1651,Not applicable,Seasonally adjusted
2023.12,CCO,Other manufacturing nec,Value added,$million value added (constant price),1643,Not applicable,Seasonally adjusted
2024.03,CCO,Other manufacturing nec,Value added,$million value added (constant price),1564,Not applicable,Seasonally adjusted
2024.06,CCO,Other manufacturing nec,Value added,$million value added (constant price),1697,Not applicable,Seasonally adjusted
2024.09,CCO,Other manufacturing nec,Value added,$million value added (constant price),1641,Not applicable,Seasonally adjusted
2024.12,CCO,Other manufacturing nec,Value added,$million value added (constant price),1632,Not applicable,Seasonally adjusted
2025.03,CCO,Other manufacturing nec,Value added,$million value added (constant price),1719,Not applicable,Seasonally adjusted
2025.06,CCO,Other manufacturing nec,Value added,$million value added (constant price),1629,Not applicable,Seasonally adjusted
2025.09,CCO,Other manufacturing nec,Value added,$million value added (constant price),1669,Not applicable,Seasonally adjusted
2025.12,CCO,Other manufacturing nec,Value added,$million value added (constant price),1671,Not applicable,Seasonally adjusted
2010.03,CCZ,Manufacturing,Value added,$million value added (constant price),5402,Not applicable,Seasonally adjusted
2010.06,CCZ,Manufacturing,Value added,$million value added (constant price),5309,Not applicable,Seasonally adjusted
2010.09,CCZ,Manufacturing,Value added,$million value added (constant price),5223,Not applicable,Seasonally adjusted
2010.12,CCZ,Manufacturing,Value added,$million value added (constant price),5418,Not applicable,Seasonally adjusted
2011.03,CCZ,Manufacturing,Value added,$million value added (constant price),5360,Not applicable,Seasonally adjusted
2011.06,CCZ,Manufacturing,Value added,$million value added (constant price),5340,Not applicable,Seasonally adjusted
2011.09,CCZ,Manufacturing,Value added,$million value added (constant price),5401,Not applicable,Seasonally adjusted
2011.12,CCZ,Manufacturing,Value added,$million value added (constant price),5185,Not applicable,Seasonally adjusted
2012.03,CCZ,Manufacturing,Value added,$million value added (constant price),5341,Not applicable,Seasonally adjusted
2012.06,CCZ,Manufacturing,Value added,$million value added (constant price),5434,Not applicable,Seasonally adjusted
2012.09,CCZ,Manufacturing,Value added,$million value added (constant price),5328,Not applicable,Seasonally adjusted
2012.12,CCZ,Manufacturing,Value added,$million value added (constant price),5392,Not applicable,Seasonally adjusted
2013.03,CCZ,Manufacturing,Value added,$million value added (constant price),5399,Not applicable,Seasonally adjusted
2013.06,CCZ,Manufacturing,Value added,$million value added (constant price),5345,Not applicable,Seasonally adjusted
2013.09,CCZ,Manufacturing,Value added,$million value added (constant price),5408,Not applicable,Seasonally adjusted
2013.12,CCZ,Manufacturing,Value added,$million value added (constant price),5471,Not applicable,Seasonally adjusted
2014.03,CCZ,Manufacturing,Value added,$million value added (constant price),5520,Not applicable,Seasonally adjusted
2014.06,CCZ,Manufacturing,Value added,$million value added (constant price),5494,Not applicable,Seasonally adjusted
2014.09,CCZ,Manufacturing,Value added,$million value added (constant price),5523,Not applicable,Seasonally adjusted
2014.12,CCZ,Manufacturing,Value added,$million value added (constant price),5597,Not applicable,Seasonally adjusted
2015.03,CCZ,Manufacturing,Value added,$million value added (constant price),5589,Not applicable,Seasonally adjusted
2015.06,CCZ,Manufacturing,Value added,$million value added (constant price),5624,Not applicable,Seasonally adjusted
2015.09,CCZ,Manufacturing,Value added,$million value added (constant price),5684,Not applicable,Seasonally adjusted
2015.12,CCZ,Manufacturing,Value added,$million value added (constant price),5749,Not applicable,Seasonally adjusted
2016.03,CCZ,Manufacturing,Value added,$million value added (constant price),5745,Not applicable,Seasonally adjusted
2016.06,CCZ,Manufacturing,Value added,$million value added (constant price),5768,Not applicable,Seasonally adjusted
2016.09,CCZ,Manufacturing,Value added,$million value added (constant price),5902,Not applicable,Seasonally adjusted
2016.12,CCZ,Manufacturing,Value added,$million value added (constant price),5838,Not applicable,Seasonally adjusted
2017.03,CCZ,Manufacturing,Value added,$million value added (constant price),5845,Not applicable,Seasonally adjusted
2017.06,CCZ,Manufacturing,Value added,$million value added (constant price),5936,Not applicable,Seasonally adjusted
2017.09,CCZ,Manufacturing,Value added,$million value added (constant price),5980,Not applicable,Seasonally adjusted
2017.12,CCZ,Manufacturing,Value added,$million value added (constant price),5936,Not applicable,Seasonally adjusted
2018.03,CCZ,Manufacturing,Value added,$million value added (constant price),6004,Not applicable,Seasonally adjusted
2018.06,CCZ,Manufacturing,Value added,$million value added (constant price),6079,Not applicable,Seasonally adjusted
2018.09,CCZ,Manufacturing,Value added,$million value added (constant price),6036,Not applicable,Seasonally adjusted
2018.12,CCZ,Manufacturing,Value added,$million value added (constant price),6089,Not applicable,Seasonally adjusted
2019.03,CCZ,Manufacturing,Value added,$million value added (constant price),6198,Not applicable,Seasonally adjusted
2019.06,CCZ,Manufacturing,Value added,$million value added (constant price),6073,Not applicable,Seasonally adjusted
2019.09,CCZ,Manufacturing,Value added,$million value added (constant price),6096,Not applicable,Seasonally adjusted
2019.12,CCZ,Manufacturing,Value added,$million value added (constant price),6069,Not applicable,Seasonally adjusted
2020.03,CCZ,Manufacturing,Value added,$million value added (constant price),5959,Not applicable,Seasonally adjusted
2020.06,CCZ,Manufacturing,Value added,$million value added (constant price),5227,Not applicable,Seasonally adjusted
2020.09,CCZ,Manufacturing,Value added,$million value added (constant price),6104,Not applicable,Seasonally adjusted
2020.12,CCZ,Manufacturing,Value added,$million value added (constant price),6069,Not applicable,Seasonally adjusted
2021.03,CCZ,Manufacturing,Value added,$million value added (constant price),6213,Not applicable,Seasonally adjusted
2021.06,CCZ,Manufacturing,Value added,$million value added (constant price),6288,Not applicable,Seasonally adjusted
2021.09,CCZ,Manufacturing,Value added,$million value added (constant price),5819,Not applicable,Seasonally adjusted
2021.12,CCZ,Manufacturing,Value added,$million value added (constant price),6191,Not applicable,Seasonally adjusted
2022.03,CCZ,Manufacturing,Value added,$million value added (constant price),6105,Not applicable,Seasonally adjusted
2022.06,CCZ,Manufacturing,Value added,$million value added (constant price),5738,Not applicable,Seasonally adjusted
2022.09,CCZ,Manufacturing,Value added,$million value added (constant price),5821,Not applicable,Seasonally adjusted
2022.12,CCZ,Manufacturing,Value added,$million value added (constant price),5706,Not applicable,Seasonally adjusted
2023.03,CCZ,Manufacturing,Value added,$million value added (constant price),5650,Not applicable,Seasonally adjusted
2023.06,CCZ,Manufacturing,Value added,$million value added (constant price),5694,Not applicable,Seasonally adjusted
2023.09,CCZ,Manufacturing,Value added,$million value added (constant price),5603,Not applicable,Seasonally adjusted
2023.12,CCZ,Manufacturing,Value added,$million value added (constant price),5654,Not applicable,Seasonally adjusted
2024.03,CCZ,Manufacturing,Value added,$million value added (constant price),5503,Not applicable,Seasonally adjusted
2024.06,CCZ,Manufacturing,Value added,$million value added (constant price),5640,Not applicable,Seasonally adjusted
2024.09,CCZ,Manufacturing,Value added,$million value added (constant price),5518,Not applicable,Seasonally adjusted
2024.12,CCZ,Manufacturing,Value added,$million value added (constant price),5475,Not applicable,Seasonally adjusted
2025.03,CCZ,Manufacturing,Value added,$million value added (constant price),5596,Not applicable,Seasonally adjusted
2025.06,CCZ,Manufacturing,Value added,$million value added (constant price),5386,Not applicable,Seasonally adjusted
2025.09,CCZ,Manufacturing,Value added,$million value added (constant price),5509,Not applicable,Seasonally adjusted
2025.12,CCZ,Manufacturing,Value added,$million value added (constant price),5510,Not applicable,Seasonally adjusted
2010.03,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1531,Not applicable,Seasonally adjusted
2010.06,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1562,Not applicable,Seasonally adjusted
2010.09,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1557,Not applicable,Seasonally adjusted
2010.12,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1554,Not applicable,Seasonally adjusted
2011.03,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1571,Not applicable,Seasonally adjusted
2011.06,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1568,Not applicable,Seasonally adjusted
2011.09,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1553,Not applicable,Seasonally adjusted
2011.12,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1527,Not applicable,Seasonally adjusted
2012.03,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1553,Not applicable,Seasonally adjusted
2012.06,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1556,Not applicable,Seasonally adjusted
2012.09,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1589,Not applicable,Seasonally adjusted
2012.12,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1604,Not applicable,Seasonally adjusted
2013.03,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1577,Not applicable,Seasonally adjusted
2013.06,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1554,Not applicable,Seasonally adjusted
2013.09,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1547,Not applicable,Seasonally adjusted
2013.12,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1583,Not applicable,Seasonally adjusted
2014.03,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1586,Not applicable,Seasonally adjusted
2014.06,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1588,Not applicable,Seasonally adjusted
2014.09,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1622,Not applicable,Seasonally adjusted
2014.12,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1626,Not applicable,Seasonally adjusted
2015.03,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1632,Not applicable,Seasonally adjusted
2015.06,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1676,Not applicable,Seasonally adjusted
2015.09,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1689,Not applicable,Seasonally adjusted
2015.12,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1702,Not applicable,Seasonally adjusted
2016.03,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1706,Not applicable,Seasonally adjusted
2016.06,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1695,Not applicable,Seasonally adjusted
2016.09,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1701,Not applicable,Seasonally adjusted
2016.12,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1680,Not applicable,Seasonally adjusted
2017.03,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1695,Not applicable,Seasonally adjusted
2017.06,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1668,Not applicable,Seasonally adjusted
2017.09,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1652,Not applicable,Seasonally adjusted
2017.12,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1673,Not applicable,Seasonally adjusted
2018.03,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1665,Not applicable,Seasonally adjusted
2018.06,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1760,Not applicable,Seasonally adjusted
2018.09,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1742,Not applicable,Seasonally adjusted
2018.12,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1741,Not applicable,Seasonally adjusted
2019.03,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1769,Not applicable,Seasonally adjusted
2019.06,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1790,Not applicable,Seasonally adjusted
2019.09,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1783,Not applicable,Seasonally adjusted
2019.12,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1790,Not applicable,Seasonally adjusted
2020.03,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1787,Not applicable,Seasonally adjusted
2020.06,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1670,Not applicable,Seasonally adjusted
2020.09,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1756,Not applicable,Seasonally adjusted
2020.12,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1770,Not applicable,Seasonally adjusted
2021.03,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1760,Not applicable,Seasonally adjusted
2021.06,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1769,Not applicable,Seasonally adjusted
2021.09,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1771,Not applicable,Seasonally adjusted
2021.12,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1795,Not applicable,Seasonally adjusted
2022.03,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1801,Not applicable,Seasonally adjusted
2022.06,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1774,Not applicable,Seasonally adjusted
2022.09,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1842,Not applicable,Seasonally adjusted
2022.12,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1832,Not applicable,Seasonally adjusted
2023.03,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1813,Not applicable,Seasonally adjusted
2023.06,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1836,Not applicable,Seasonally adjusted
2023.09,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1812,Not applicable,Seasonally adjusted
2023.12,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1802,Not applicable,Seasonally adjusted
2024.03,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1832,Not applicable,Seasonally adjusted
2024.06,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1800,Not applicable,Seasonally adjusted
2024.09,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1734,Not applicable,Seasonally adjusted
2024.12,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1751,Not applicable,Seasonally adjusted
2025.03,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1747,Not applicable,Seasonally adjusted
2025.06,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1759,Not applicable,Seasonally adjusted
2025.09,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1805,Not applicable,Seasonally adjusted
2025.12,DD1,"Electricity, gas, water, and waste services",Value added,$million value added (constant price),1818,Not applicable,Seasonally adjusted
2010.03,EE1,Construction,Value added,$million value added (constant price),2728,Not applicable,Seasonally adjusted
2010.06,EE1,Construction,Value added,$million value added (constant price),2826,Not applicable,Seasonally adjusted
2010.09,EE1,Construction,Value added,$million value added (constant price),2717,Not applicable,Seasonally adjusted
2010.12,EE1,Construction,Value added,$million value added (constant price),2699,Not applicable,Seasonally adjusted
2011.03,EE1,Construction,Value added,$million value added (constant price),2632,Not applicable,Seasonally adjusted
2011.06,EE1,Construction,Value added,$million value added (constant price),2605,Not applicable,Seasonally adjusted
2011.09,EE1,Construction,Value added,$million value added (constant price),2628,Not applicable,Seasonally adjusted
2011.12,EE1,Construction,Value added,$million value added (constant price),2693,Not applicable,Seasonally adjusted
2012.03,EE1,Construction,Value added,$million value added (constant price),2664,Not applicable,Seasonally adjusted
2012.06,EE1,Construction,Value added,$million value added (constant price),2681,Not applicable,Seasonally adjusted
2012.09,EE1,Construction,Value added,$million value added (constant price),2808,Not applicable,Seasonally adjusted
2012.12,EE1,Construction,Value added,$million value added (constant price),2893,Not applicable,Seasonally adjusted
2013.03,EE1,Construction,Value added,$million value added (constant price),2915,Not applicable,Seasonally adjusted
2013.06,EE1,Construction,Value added,$million value added (constant price),2891,Not applicable,Seasonally adjusted
2013.09,EE1,Construction,Value added,$million value added (constant price),2830,Not applicable,Seasonally adjusted
2013.12,EE1,Construction,Value added,$million value added (constant price),2844,Not applicable,Seasonally adjusted
2014.03,EE1,Construction,Value added,$million value added (constant price),3006,Not applicable,Seasonally adjusted
2014.06,EE1,Construction,Value added,$million value added (constant price),3108,Not applicable,Seasonally adjusted
2014.09,EE1,Construction,Value added,$million value added (constant price),3189,Not applicable,Seasonally adjusted
2014.12,EE1,Construction,Value added,$million value added (constant price),3124,Not applicable,Seasonally adjusted
2015.03,EE1,Construction,Value added,$million value added (constant price),3235,Not applicable,Seasonally adjusted
2015.06,EE1,Construction,Value added,$million value added (constant price),3280,Not applicable,Seasonally adjusted
2015.09,EE1,Construction,Value added,$million value added (constant price),3316,Not applicable,Seasonally adjusted
2015.12,EE1,Construction,Value added,$million value added (constant price),3394,Not applicable,Seasonally adjusted
2016.03,EE1,Construction,Value added,$million value added (constant price),3539,Not applicable,Seasonally adjusted
2016.06,EE1,Construction,Value added,$million value added (constant price),3610,Not applicable,Seasonally adjusted
2016.09,EE1,Construction,Value added,$million value added (constant price),3622,Not applicable,Seasonally adjusted
2016.12,EE1,Construction,Value added,$million value added (constant price),3680,Not applicable,Seasonally adjusted
2017.03,EE1,Construction,Value added,$million value added (constant price),3706,Not applicable,Seasonally adjusted
2017.06,EE1,Construction,Value added,$million value added (constant price),3815,Not applicable,Seasonally adjusted
2017.09,EE1,Construction,Value added,$million value added (constant price),4016,Not applicable,Seasonally adjusted
2017.12,EE1,Construction,Value added,$million value added (constant price),4055,Not applicable,Seasonally adjusted
2018.03,EE1,Construction,Value added,$million value added (constant price),4020,Not applicable,Seasonally adjusted
2018.06,EE1,Construction,Value added,$million value added (constant price),4034,Not applicable,Seasonally adjusted
2018.09,EE1,Construction,Value added,$million value added (constant price),3987,Not applicable,Seasonally adjusted
2018.12,EE1,Construction,Value added,$million value added (constant price),4081,Not applicable,Seasonally adjusted
2019.03,EE1,Construction,Value added,$million value added (constant price),4289,Not applicable,Seasonally adjusted
2019.06,EE1,Construction,Value added,$million value added (constant price),4327,Not applicable,Seasonally adjusted
2019.09,EE1,Construction,Value added,$million value added (constant price),4396,Not applicable,Seasonally adjusted
2019.12,EE1,Construction,Value added,$million value added (constant price),4482,Not applicable,Seasonally adjusted
2020.03,EE1,Construction,Value added,$million value added (constant price),4336,Not applicable,Seasonally adjusted
2020.06,EE1,Construction,Value added,$million value added (constant price),3401,Not applicable,Seasonally adjusted
2020.09,EE1,Construction,Value added,$million value added (constant price),5186,Not applicable,Seasonally adjusted
2020.12,EE1,Construction,Value added,$million value added (constant price),4748,Not applicable,Seasonally adjusted
2021.03,EE1,Construction,Value added,$million value added (constant price),4820,Not applicable,Seasonally adjusted
2021.06,EE1,Construction,Value added,$million value added (constant price),4543,Not applicable,Seasonally adjusted
2021.09,EE1,Construction,Value added,$million value added (constant price),3900,Not applicable,Seasonally adjusted
2021.12,EE1,Construction,Value added,$million value added (constant price),4217,Not applicable,Seasonally adjusted
2022.03,EE1,Construction,Value added,$million value added (constant price),4238,Not applicable,Seasonally adjusted
2022.06,EE1,Construction,Value added,$million value added (constant price),4396,Not applicable,Seasonally adjusted
2022.09,EE1,Construction,Value added,$million value added (constant price),4602,Not applicable,Seasonally adjusted
2022.12,EE1,Construction,Value added,$million value added (constant price),4720,Not applicable,Seasonally adjusted
2023.03,EE1,Construction,Value added,$million value added (constant price),4785,Not applicable,Seasonally adjusted
2023.06,EE1,Construction,Value added,$million value added (constant price),4947,Not applicable,Seasonally adjusted
2023.09,EE1,Construction,Value added,$million value added (constant price),4953,Not applicable,Seasonally adjusted
2023.12,EE1,Construction,Value added,$million value added (constant price),5011,Not applicable,Seasonally adjusted
2024.03,EE1,Construction,Value added,$million value added (constant price),4850,Not applicable,Seasonally adjusted
2024.06,EE1,Construction,Value added,$million value added (constant price),4722,Not applicable,Seasonally adjusted
2024.09,EE1,Construction,Value added,$million value added (constant price),4548,Not applicable,Seasonally adjusted
2024.12,EE1,Construction,Value added,$million value added (constant price),4379,Not applicable,Seasonally adjusted
2025.03,EE1,Construction,Value added,$million value added (constant price),4440,Not applicable,Seasonally adjusted
2025.06,EE1,Construction,Value added,$million value added (constant price),4301,Not applicable,Seasonally adjusted
2025.09,EE1,Construction,Value added,$million value added (constant price),4335,Not applicable,Seasonally adjusted
2025.12,EE1,Construction,Value added,$million value added (constant price),4274,Not applicable,Seasonally adjusted
2010.03,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2058,Not applicable,Seasonally adjusted
2010.06,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2093,Not applicable,Seasonally adjusted
2010.09,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2169,Not applicable,Seasonally adjusted
2010.12,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2180,Not applicable,Seasonally adjusted
2011.03,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2195,Not applicable,Seasonally adjusted
2011.06,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2179,Not applicable,Seasonally adjusted
2011.09,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2208,Not applicable,Seasonally adjusted
2011.12,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2198,Not applicable,Seasonally adjusted
2012.03,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2205,Not applicable,Seasonally adjusted
2012.06,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2230,Not applicable,Seasonally adjusted
2012.09,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2204,Not applicable,Seasonally adjusted
2012.12,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2220,Not applicable,Seasonally adjusted
2013.03,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2198,Not applicable,Seasonally adjusted
2013.06,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2215,Not applicable,Seasonally adjusted
2013.09,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2231,Not applicable,Seasonally adjusted
2013.12,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2274,Not applicable,Seasonally adjusted
2014.03,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2315,Not applicable,Seasonally adjusted
2014.06,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2393,Not applicable,Seasonally adjusted
2014.09,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2363,Not applicable,Seasonally adjusted
2014.12,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2424,Not applicable,Seasonally adjusted
2015.03,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2499,Not applicable,Seasonally adjusted
2015.06,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2487,Not applicable,Seasonally adjusted
2015.09,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2537,Not applicable,Seasonally adjusted
2015.12,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2548,Not applicable,Seasonally adjusted
2016.03,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2604,Not applicable,Seasonally adjusted
2016.06,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2573,Not applicable,Seasonally adjusted
2016.09,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2650,Not applicable,Seasonally adjusted
2016.12,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2625,Not applicable,Seasonally adjusted
2017.03,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2593,Not applicable,Seasonally adjusted
2017.06,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2644,Not applicable,Seasonally adjusted
2017.09,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2657,Not applicable,Seasonally adjusted
2017.12,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2694,Not applicable,Seasonally adjusted
2018.03,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2710,Not applicable,Seasonally adjusted
2018.06,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2721,Not applicable,Seasonally adjusted
2018.09,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2736,Not applicable,Seasonally adjusted
2018.12,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2734,Not applicable,Seasonally adjusted
2019.03,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2798,Not applicable,Seasonally adjusted
2019.06,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2861,Not applicable,Seasonally adjusted
2019.09,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2810,Not applicable,Seasonally adjusted
2019.12,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2866,Not applicable,Seasonally adjusted
2020.03,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2640,Not applicable,Seasonally adjusted
2020.06,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2075,Not applicable,Seasonally adjusted
2020.09,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2265,Not applicable,Seasonally adjusted
2020.12,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2351,Not applicable,Seasonally adjusted
2021.03,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2356,Not applicable,Seasonally adjusted
2021.06,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2502,Not applicable,Seasonally adjusted
2021.09,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2397,Not applicable,Seasonally adjusted
2021.12,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2462,Not applicable,Seasonally adjusted
2022.03,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2411,Not applicable,Seasonally adjusted
2022.06,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2707,Not applicable,Seasonally adjusted
2022.09,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2929,Not applicable,Seasonally adjusted
2022.12,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2925,Not applicable,Seasonally adjusted
2023.03,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2889,Not applicable,Seasonally adjusted
2023.06,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2942,Not applicable,Seasonally adjusted
2023.09,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2906,Not applicable,Seasonally adjusted
2023.12,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2894,Not applicable,Seasonally adjusted
2024.03,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2966,Not applicable,Seasonally adjusted
2024.06,II1,"Transport, postal, and warehousing",Value added,$million value added (constant price),2901,Not applicable,Seasonally adjusted
